rID,flood,coords_x,coords_y,aspect,dem,land,plan,pre,riverdis,roaddis,slope,soil,twi,Target_Ris
78,1,256901.478,3841945.029,225,2003,2,0,367,0,1062,0,8,15,4
79,1,252959.224,3843015.764,236,2004,2,-5,369,553,751,3,2,12,4
80,1,226628.862,3830312.946,128,1577,10,-1,393,4762,1062,3,7,14,4
81,1,231106.483,3809219.455,261,1482,10,0,401,4762,531,1,10,4,4
82,1,226336.843,3803048.124,18,1470,10,0,407,553,7894,1,12,0,4
83,1,230084.418,3799641.238,63,1462,10,0,406,553,7144,2,8,0,4
84,1,250720.413,3781643.146,45,1711,3,0,408,0,6394,2,10,14,4
85,1,265224.014,3802425.151,180,1636,5,7,388,1107,8563,0,2,0,4
86,1,269555.626,3803641.896,198,1647,5,2,385,782,8396,0,2,10,4
87,1,277780.822,3807048.782,120,1661,13,-7,379,553,7434,1,2,3,4
88,1,313601.796,3801354.415,315,2011,5,0,366,553,0,2,2,7,4
89,1,308345.457,3765105.147,74,2006,3,0,398,553,2124,2,6,4,4
90,1,278316.19,3781263.521,288,2003,10,0,399,2214,6055,0,2,10,3
91,1,297346.082,3778538.012,104,2024,2,0,393,0,6372,1,9,7,3
92,1,311022.296,3757561.328,108,2036,3,0,402,553,5645,0,6,11,3
93,1,315110.559,3796156.48,104,2067,3,-8,368,2822,3230,3,2,6,3
94,1,317349.37,3762282.299,189,2150,2,-7,394,0,4506,5,6,13,3
95,1,282355.783,3792068.217,345,1907,3,0,388,553,6924,3,2,5,3
96,1,308082.411,3806807.792,265,1981,3,0,364,1996,5337,3,2,8,3
97,1,301136.76,3813486.302,166,1837,3,-6,364,5480,531,5,2,11,3
98,1,285001.48,3823210.213,135,1955,3,2,365,553,7547,1,6,12,3
99,1,259142.289,3807716.069,144,1771,10,-8,387,553,12964,2,2,10,3
100,1,266248.224,3812952.021,180,1815,10,-9,380,0,9573,3,2,12,3
101,1,200531.685,3805098.093,54,1806,3,4,418,0,10474,2,9,13,3
102,1,185732.107,3818134.545,144,1586,9,0,422,782,0,29,7,12,3
103,1,206916.862,3842286.975,147,1959,3,0,400,0,6568,3,2,0,3
104,1,209086.388,3847607.15,35,2196,4,0,396,2214,2655,7,2,12,3
105,1,200297.736,3839329.787,352,2006,6,-6,405,782,3096,12,2,3,3
106,1,154936,3822580,123,2309,6,0,441,1237,12397,33,9,11,1
107,1,161952,3821920,165,1824,9,0,436,553,6193,24,9,0,1
108,1,159040,3819930,355,2110,8,0,438,1996,9748,45,9,11,1
109,1,159040,3814240,175,2701,8,0,439,3228,6394,26,NA,4,1
110,1,170689,3814770,28,1980,8,0,432,1565,2655,20,9,8,1
111,1,164997,3813320,357,2804,8,0,435,1660,5038,30,9,0,1
112,1,165129,3827610,76,1592,8,0,433,2282,2124,18,10,8,3
113,1,162614,3837540,135,1414,10,2,433,1107,0,1,9,15,5
114,1,156392,3845880,358,2207,8,0,437,553,5310,41,6,1,1
115,1,279367,3829730,61,2659,8,0,364,782,10514,22,9,12,1
116,1,235684,3859510,205,2130,8,0,374,1237,3562,15,6,12,1
117,1,243097,3849850,219,1810,2,0,373,0,2655,7,2,12,4
118,1,256731,3844820,88,2311,3,0,367,1107,1502,9,2,4,3
119,1,259644,3839390,266,2081,10,-6,367,0,4281,9,8,10,2
120,1,189618,3862160,327,2016,6,0,405,2475,5230,16,2,7,1
121,1,191074,3857930,101,1800,9,-5,406,553,751,1,7,11,5
122,1,172145,3852500,90,1909,6,0,423,1107,7144,12,2,10,1
123,1,168968,3849320,201,2275,6,0,426,1750,4147,27,9,11,1
124,1,196369,3855540,210,2024,3,2,402,1660,2189,1,2,0,5
125,1,180087,3858590,253,1686,3,6,415,553,1914,5,2,3,5
126,1,184588,3855810,243,1662,3,0,411,1107,531,2,7,10,5
127,1,268380,3838600,210,3394,8,0,363,1237,6717,13,6,11,1
128,1,248789,3850640,300,2496,8,0,368,782,5719,20,6,0,2
129,1,234096,3850380,135,1547,10,0,378,1237,0,1,11,2,5
130,1,223109,3875660,108,1840,5,2,376,1107,8563,1,NA,0,4
131,1,210798,3876190,188,2203,5,0,383,553,2859,9,NA,8,3
132,1,229462,3878840,225,1805,6,0,371,0,3717,1,NA,4,5
133,1,221785,3873020,45,1883,3,0,377,782,7085,2,NA,16,3
134,1,218343,3871300,53,2293,6,8,380,2282,5257,22,NA,0,2
