rID,flood,coords_x,coords_y,aspect,dem,land,plan,pre,riverdis,roaddis,slope,soil,twi,Target_Ris
373,1,317403,3789320,38,2219,3,0,373,1996,2655,24,12,3,2
374,1,323194,3787400,357,2331,9,0,372,1107,2707,19,8,13,2
375,1,313908,3784220,184,2188,9,-9,378,2822,1679,26,2,13,2
376,1,311626,3786100,185,2302,9,0,377,1237,3358,10,2,13,2
377,1,295935,3785270,2,2038,8,0,385,1660,7510,5,2,13,2
378,1,294714,3777870,86,2153,2,0,394,1565,9090,4,9,11,2
379,1,296880,3775250,149,2099,2,0,397,0,7732,6,4,6,2
380,1,295520,3772180,146,2233,3,0,401,0,9690,3,4,0,3
381,1,296765,3772670,171,2207,2,0,399,553,8036,4,4,4,2
382,1,308077,3778980,63,2095,6,0,385,1660,3562,23,9,12,1
383,1,309736,3774000,259,2204,6,0,390,553,4044,22,9,5,1
384,1,308216,3775660,4,2230,6,0,389,1237,2859,13,9,2,3
385,1,296696,3783660,99,2022,3,0,387,1996,8088,5,2,9,2
386,1,295613,3780310,83,2146,3,0,391,1107,8496,6,6,10,2
387,1,293815,3783150,206,2224,6,0,389,2348,6193,4,2,16,2
388,1,292663,3780570,225,2152,3,0,393,2214,6759,1,2,11,2
389,1,292456,3778190,15,2254,2,0,396,2475,8123,2,9,6,2
390,1,279701,3783970,108,2090,10,0,397,4030,5230,3,2,14,2
391,1,262293,3792130,286,2105,8,0,396,1996,2655,16,8,5,2
392,1,275148,3787360,278,2087,3,0,395,553,8396,5,2,6,2
393,1,277674,3786030,307,2196,3,0,395,1996,8088,2,6,13,2
394,1,274537,3782640,90,2051,10,0,399,553,9028,1,2,14,2
395,1,280451,3789660,281,2073,6,0,391,1750,7894,3,6,15,2
396,1,277036,3789500,306,2119,3,6,393,1750,7124,12,2,7,2
397,1,279423,3786410,329,2272,3,0,394,2348,6924,4,6,5,2
398,1,273843,3785110,346,2099,10,0,398,782,9043,5,2,10,2
399,1,204700,3805860,32,1546,8,0,416,782,9792,21,7,15,2
400,1,220629,3805890,356,1597,9,0,408,553,6924,23,2,3,2
401,1,216593,3806890,8,1743,9,0,409,553,5841,44,7,11,2
402,1,232491,3789750,1,1895,14,0,410,553,4281,14,8,5,2
403,1,227181,3790770,3,2143,15,0,412,1107,7894,11,11,11,2
404,1,208209,3805300,10,1647,6,0,414,553,9410,18,9,11,2
405,1,211780,3804400,67,1723,6,0,413,782,9499,24,9,5,2
406,1,210910,3801050,102,1744,2,0,415,0,12833,3,9,13,3
407,1,212867,3798840,243,1858,3,5,414,553,14170,4,9,3,2
408,1,220536,3802260,237,1622,6,0,409,0,10634,15,9,12,2
409,1,222430,3801760,98,1809,10,0,409,1996,11464,20,6,11,1
410,1,221530,3798410,252,1762,4,0,410,553,13939,33,6,4,2
411,1,224511,3795770,329,1906,3,-7,411,0,10215,4,11,13,2
412,1,224045,3800680,14,1743,6,0,408,553,11265,16,12,4,2
413,1,225970,3799780,128,1729,3,0,408,1237,10514,19,12,11,2
414,1,224573,3795930,237,1908,3,0,410,0,10215,3,11,14,2
